Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,BC-BORDERLEAF1,Ethernet1,spine,BC-SPINE1,Ethernet1
l3leaf,BC-BORDERLEAF1,Ethernet2,spine,BC-SPINE2,Ethernet1
l3leaf,BC-BORDERLEAF1,Ethernet3,core_firewall,BC-CORE-PAN-FW-01,Eth1
l3leaf,BC-BORDERLEAF1,Ethernet4,core_firewall,BC-CORE-PAN-FW-01,Eth3
l3leaf,BC-BORDERLEAF1,Ethernet5,core_firewall,BC-CORE-PAN-FW-02,Eth1
l3leaf,BC-BORDERLEAF1,Ethernet6,core_firewall,BC-CORE-PAN-FW-02,Eth3
l3leaf,BC-BORDERLEAF1,Ethernet12,mlag_peer,BC-BORDERLEAF2,Ethernet12
l3leaf,BC-BORDERLEAF1,Ethernet13,mlag_peer,BC-BORDERLEAF2,Ethernet13
l3leaf,BC-BORDERLEAF1,Ethernet15,,,
l3leaf,BC-BORDERLEAF2,Ethernet1,spine,BC-SPINE1,Ethernet2
l3leaf,BC-BORDERLEAF2,Ethernet2,spine,BC-SPINE2,Ethernet2
l3leaf,BC-BORDERLEAF2,Ethernet3,core_firewall,BC-CORE-PAN-FW-01,Eth2
l3leaf,BC-BORDERLEAF2,Ethernet4,core_firewall,BC-CORE-PAN-FW-01,Eth4
l3leaf,BC-BORDERLEAF2,Ethernet5,core_firewall,BC-CORE-PAN-FW-02,Eth2
l3leaf,BC-BORDERLEAF2,Ethernet6,core_firewall,BC-CORE-PAN-FW-02,Eth4
l3leaf,BC-BORDERLEAF2,Ethernet12,mlag_peer,BC-BORDERLEAF1,Ethernet12
l3leaf,BC-BORDERLEAF2,Ethernet13,mlag_peer,BC-BORDERLEAF1,Ethernet13
l3leaf,BC-DATALEAF3,Ethernet1,spine,BC-SPINE1,Ethernet3
l3leaf,BC-DATALEAF3,Ethernet2,spine,BC-SPINE2,Ethernet3
l3leaf,BC-DATALEAF3,Ethernet3,data_servers,data_server_1,Eth3
l3leaf,BC-DATALEAF3,Ethernet4,data_servers,data_server_1,Eth5
l3leaf,BC-DATALEAF3,Ethernet5,data_servers,data_server_2,Eth3
l3leaf,BC-DATALEAF3,Ethernet6,data_servers,data_server_2,Eth5
l3leaf,BC-DATALEAF3,Ethernet12,mlag_peer,BC-DATALEAF4,Ethernet12
l3leaf,BC-DATALEAF3,Ethernet13,mlag_peer,BC-DATALEAF4,Ethernet13
l3leaf,BC-DATALEAF4,Ethernet1,spine,BC-SPINE1,Ethernet4
l3leaf,BC-DATALEAF4,Ethernet2,spine,BC-SPINE2,Ethernet4
l3leaf,BC-DATALEAF4,Ethernet3,data_servers,data_server_1,Eth4
l3leaf,BC-DATALEAF4,Ethernet4,data_servers,data_server_1,Eth6
l3leaf,BC-DATALEAF4,Ethernet5,data_servers,data_server_2,Eth4
l3leaf,BC-DATALEAF4,Ethernet6,data_servers,data_server_2,Eth6
l3leaf,BC-DATALEAF4,Ethernet12,mlag_peer,BC-DATALEAF3,Ethernet12
l3leaf,BC-DATALEAF4,Ethernet13,mlag_peer,BC-DATALEAF3,Ethernet13
l3leaf,BC-DATALEAF5,Ethernet1,spine,BC-SPINE1,Ethernet5
l3leaf,BC-DATALEAF5,Ethernet2,spine,BC-SPINE2,Ethernet5
l3leaf,BC-DATALEAF5,Ethernet3,data_servers,data_server_1,Eth3
l3leaf,BC-DATALEAF5,Ethernet4,data_servers,data_server_1,Eth5
l3leaf,BC-DATALEAF5,Ethernet5,data_servers,data_server_2,Eth3
l3leaf,BC-DATALEAF5,Ethernet6,data_servers,data_server_2,Eth5
l3leaf,BC-DATALEAF5,Ethernet12,mlag_peer,BC-DATALEAF6,Ethernet12
l3leaf,BC-DATALEAF5,Ethernet13,mlag_peer,BC-DATALEAF6,Ethernet13
l3leaf,BC-DATALEAF6,Ethernet1,spine,BC-SPINE1,Ethernet6
l3leaf,BC-DATALEAF6,Ethernet2,spine,BC-SPINE2,Ethernet6
l3leaf,BC-DATALEAF6,Ethernet3,data_servers,data_server_1,Eth4
l3leaf,BC-DATALEAF6,Ethernet4,data_servers,data_server_1,Eth6
l3leaf,BC-DATALEAF6,Ethernet5,data_servers,data_server_2,Eth4
l3leaf,BC-DATALEAF6,Ethernet6,data_servers,data_server_2,Eth6
l3leaf,BC-DATALEAF6,Ethernet12,mlag_peer,BC-DATALEAF5,Ethernet12
l3leaf,BC-DATALEAF6,Ethernet13,mlag_peer,BC-DATALEAF5,Ethernet13
l2leaf,BC-OOBM1,Ethernet1,oobm_firewall,BC-CORE-PAN-FW-OOBM-01,Eth10
l2leaf,BC-OOBM1,Ethernet2,oobm_firewall,BC-CORE-PAN-FW-OOBM-02,Eth1
l2leaf,BC-OOBM1,Ethernet3,oobm_devices,data_server_R2_1,Eth1
l2leaf,BC-OOBM1,Ethernet4,oobm_devices,data_server_R2_2,Eth1
l2leaf,BC-OOBM1,Ethernet5,oobm_devices,data_server_R3_1,Eth1
l2leaf,BC-OOBM1,Ethernet6,oobm_devices,data_server_R3_2,Eth1
l2leaf,BC-OOBM1,Ethernet7,oobm_devices,storage_server_R4_1,Eth1
l2leaf,BC-OOBM1,Ethernet8,oobm_devices,storage_server_R4_2,Eth1
l2leaf,BC-OOBM1,Ethernet9,oobm_devices,storage_server_R5_1,Eth1
l2leaf,BC-OOBM1,Ethernet15,oobm_devices,cvp_server_oobm1,Eth1
l2leaf,BC-OOBM1,Ethernet16,mlag_peer,BC-OOBM2,Ethernet16
l2leaf,BC-OOBM1,Ethernet17,mlag_peer,BC-OOBM2,Ethernet17
l2leaf,BC-OOBM2,Ethernet1,oobm_firewall,BC-CORE-PAN-FW-OOBM-01,Eth11
l2leaf,BC-OOBM2,Ethernet2,oobm_firewall,BC-CORE-PAN-FW-OOBM-02,Eth2
l2leaf,BC-OOBM2,Ethernet3,oobm_devices,data_server_R2_1,Eth2
l2leaf,BC-OOBM2,Ethernet4,oobm_devices,data_server_R2_2,Eth2
l2leaf,BC-OOBM2,Ethernet5,oobm_devices,data_server_R3_1,Eth2
l2leaf,BC-OOBM2,Ethernet6,oobm_devices,data_server_R3_2,Eth2
l2leaf,BC-OOBM2,Ethernet7,oobm_devices,storage_server_R4_1,Eth2
l2leaf,BC-OOBM2,Ethernet8,oobm_devices,storage_server_R4_2,Eth2
l2leaf,BC-OOBM2,Ethernet9,oobm_devices,storage_server_R5_1,Eth2
l2leaf,BC-OOBM2,Ethernet15,oobm_devices,cvp_server_oobm2,Eth2
l2leaf,BC-OOBM2,Ethernet16,mlag_peer,BC-OOBM1,Ethernet16
l2leaf,BC-OOBM2,Ethernet17,mlag_peer,BC-OOBM1,Ethernet17
spine,BC-SPINE1,Ethernet1,l3leaf,BC-BORDERLEAF1,Ethernet1
spine,BC-SPINE1,Ethernet2,l3leaf,BC-BORDERLEAF2,Ethernet1
spine,BC-SPINE1,Ethernet3,l3leaf,BC-DATALEAF3,Ethernet1
spine,BC-SPINE1,Ethernet4,l3leaf,BC-DATALEAF4,Ethernet1
spine,BC-SPINE1,Ethernet5,l3leaf,BC-DATALEAF5,Ethernet1
spine,BC-SPINE1,Ethernet6,l3leaf,BC-DATALEAF6,Ethernet1
spine,BC-SPINE1,Ethernet7,l3leaf,BC-STOLEAF1,Ethernet1
spine,BC-SPINE1,Ethernet8,l3leaf,BC-STOLEAF2,Ethernet1
spine,BC-SPINE1,Ethernet9,l3leaf,BC-STOLEAF3,Ethernet1
spine,BC-SPINE1,Ethernet10,l3leaf,BC-STOLEAF4,Ethernet1
spine,BC-SPINE2,Ethernet1,l3leaf,BC-BORDERLEAF1,Ethernet2
spine,BC-SPINE2,Ethernet2,l3leaf,BC-BORDERLEAF2,Ethernet2
spine,BC-SPINE2,Ethernet3,l3leaf,BC-DATALEAF3,Ethernet2
spine,BC-SPINE2,Ethernet4,l3leaf,BC-DATALEAF4,Ethernet2
spine,BC-SPINE2,Ethernet5,l3leaf,BC-DATALEAF5,Ethernet2
spine,BC-SPINE2,Ethernet6,l3leaf,BC-DATALEAF6,Ethernet2
spine,BC-SPINE2,Ethernet7,l3leaf,BC-STOLEAF1,Ethernet2
spine,BC-SPINE2,Ethernet8,l3leaf,BC-STOLEAF2,Ethernet2
spine,BC-SPINE2,Ethernet9,l3leaf,BC-STOLEAF3,Ethernet2
spine,BC-SPINE2,Ethernet10,l3leaf,BC-STOLEAF4,Ethernet2
l3leaf,BC-STOLEAF1,Ethernet1,spine,BC-SPINE1,Ethernet7
l3leaf,BC-STOLEAF1,Ethernet2,spine,BC-SPINE2,Ethernet7
l3leaf,BC-STOLEAF1,Ethernet3,storage_servers,storage_server_1,Eth3
l3leaf,BC-STOLEAF1,Ethernet4,storage_servers,storage_server_1,Eth5
l3leaf,BC-STOLEAF1,Ethernet5,storage_servers,storage_server_2,Eth3
l3leaf,BC-STOLEAF1,Ethernet6,storage_servers,storage_server_2,Eth5
l3leaf,BC-STOLEAF1,Ethernet12,mlag_peer,BC-STOLEAF2,Ethernet12
l3leaf,BC-STOLEAF1,Ethernet13,mlag_peer,BC-STOLEAF2,Ethernet13
l3leaf,BC-STOLEAF2,Ethernet1,spine,BC-SPINE1,Ethernet8
l3leaf,BC-STOLEAF2,Ethernet2,spine,BC-SPINE2,Ethernet8
l3leaf,BC-STOLEAF2,Ethernet3,storage_servers,storage_server_1,Eth4
l3leaf,BC-STOLEAF2,Ethernet4,storage_servers,storage_server_1,Eth6
l3leaf,BC-STOLEAF2,Ethernet5,storage_servers,storage_server_2,Eth4
l3leaf,BC-STOLEAF2,Ethernet6,storage_servers,storage_server_2,Eth6
l3leaf,BC-STOLEAF2,Ethernet12,mlag_peer,BC-STOLEAF1,Ethernet12
l3leaf,BC-STOLEAF2,Ethernet13,mlag_peer,BC-STOLEAF1,Ethernet13
l3leaf,BC-STOLEAF3,Ethernet1,spine,BC-SPINE1,Ethernet9
l3leaf,BC-STOLEAF3,Ethernet2,spine,BC-SPINE2,Ethernet9
l3leaf,BC-STOLEAF3,Ethernet3,storage_servers,storage_server_1,Eth3
l3leaf,BC-STOLEAF3,Ethernet4,storage_servers,storage_server_1,Eth5
l3leaf,BC-STOLEAF3,Ethernet12,mlag_peer,BC-STOLEAF4,Ethernet12
l3leaf,BC-STOLEAF3,Ethernet13,mlag_peer,BC-STOLEAF4,Ethernet13
l3leaf,BC-STOLEAF4,Ethernet1,spine,BC-SPINE1,Ethernet10
l3leaf,BC-STOLEAF4,Ethernet2,spine,BC-SPINE2,Ethernet10
l3leaf,BC-STOLEAF4,Ethernet3,storage_servers,storage_server_1,Eth4
l3leaf,BC-STOLEAF4,Ethernet4,storage_servers,storage_server_1,Eth6
l3leaf,BC-STOLEAF4,Ethernet12,mlag_peer,BC-STOLEAF3,Ethernet12
l3leaf,BC-STOLEAF4,Ethernet13,mlag_peer,BC-STOLEAF3,Ethernet13
